,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
130,1329.0,3.0,84.66666666666667,15.666666666666666,2.333333333333333,13.333333333333334,9.666666666666666,1.3333333333333333,2.0,2.333333333333333,0.0,0.3333333333333333,43.66666666666666,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,0.0
131,1330.0,4.0,73.125,25.25,6.0,19.25,6.5,3.75,2.25,11.25,1.5,0.0,79.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,1331.0,3.0,85.03333333333333,12.0,0.3333333333333333,11.666666666666666,4.666666666666667,4.666666666666667,1.3333333333333333,1.0,0.0,0.3333333333333333,43.333333333333336,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0
133,1333.0,4.0,73.5,17.25,4.5,12.75,7.0,2.25,3.25,3.75,0.0,1.0,67.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0
134,1334.0,1.0,86.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1335.0,6.0,79.64833333333333,14.166666666666666,2.6666666666666665,11.5,3.333333333333333,2.833333333333333,3.333333333333333,4.5,0.0,0.1666666666666666,40.5,0.0,0.1666666666666666,4.666666666666667,0.0,0.1666666666666666,0.0,0.0
136,1336.0,4.0,79.425,22.0,3.75,18.25,7.0,4.0,2.75,7.5,0.75,0.0,64.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
137,1337.0,4.0,77.9,17.5,3.75,13.75,3.5,5.75,3.0,3.75,1.5,0.0,45.75,0.0,0.0,1.75,0.0,1.0,0.25,0.25
138,1338.0,4.0,77.8,20.5,8.0,12.5,6.5,5.75,1.75,5.75,0.5,0.25,86.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
139,1339.0,4.0,80.35,14.75,4.0,10.75,6.0,2.25,2.0,4.25,0.0,0.25,51.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
140,1340.0,5.0,68.452,14.6,2.4,12.2,4.6,3.0,0.6,4.2,2.0,0.2,39.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0
141,1341.0,4.0,69.375,12.5,1.0,11.5,6.25,2.5,1.25,1.5,0.5,0.5,34.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
142,1342.0,4.0,83.975,5.75,1.5,4.25,1.0,1.25,1.0,2.5,0.0,0.0,29.75,0.0,0.75,0.25,0.0,0.0,0.0,0.0
143,1343.0,5.0,86.812,31.0,4.8,26.2,9.4,10.2,4.6,6.2,0.2,0.4,140.8,0.0,0.0,2.4,0.4,0.0,0.0,0.0
144,1346.0,4.0,75.55,16.0,3.5,12.5,5.5,3.75,2.25,4.0,0.0,0.5,83.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0
145,1347.0,4.0,82.545,9.25,2.0,7.25,1.25,4.75,0.25,3.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
146,1348.0,5.0,71.8,10.0,2.4,7.6,3.2,1.2,1.0,4.0,0.4,0.2,33.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0
147,1349.0,5.0,72.092,13.0,2.4,10.6,4.8,2.8,0.8,3.4,1.2,0.0,37.6,0.0,0.8,0.6,0.0,0.0,0.0,0.0
148,1350.0,5.0,53.34,17.2,2.8,14.4,4.2,6.4,1.6,4.4,0.4,0.2,67.6,0.0,0.0,0.8,0.2,0.0,0.0,0.0
149,1351.0,4.0,85.8625,28.5,5.25,23.25,10.75,7.0,3.25,5.0,0.5,2.0,78.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0
150,1352.0,1.0,81.1,15.0,4.0,11.0,8.0,2.0,0.0,3.0,0.0,2.0,86.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
151,1353.0,4.0,86.3575,23.0,3.25,19.75,8.75,5.25,0.75,7.75,0.5,0.0,78.5,0.25,4.25,1.25,0.0,0.0,0.0,0.0
152,1354.0,1.0,73.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1356.0,4.0,84.075,23.5,4.25,19.25,11.25,5.25,1.0,5.5,0.25,0.25,86.0,0.0,0.25,3.0,0.25,0.0,0.0,0.0
154,1357.0,7.0,84.25285714285714,12.857142857142858,1.4285714285714286,11.428571428571429,4.142857142857143,3.4285714285714284,1.7142857142857142,2.7142857142857144,0.5714285714285714,0.2857142857142857,57.285714285714285,0.0,0.0,1.7142857142857142,0.2857142857142857,4.428571428571429,1.0,25.285714285714285
155,1358.0,4.0,77.4625,15.75,3.75,12.0,2.75,5.0,1.5,4.75,1.0,0.75,48.5,0.0,1.5,1.75,0.0,0.0,0.0,0.0
156,1359.0,3.0,78.44333333333333,5.666666666666667,1.0,4.666666666666667,0.6666666666666666,1.6666666666666667,0.0,1.0,2.333333333333333,0.0,19.33333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
157,1360.0,3.0,85.89999999999999,18.0,4.333333333333333,13.666666666666666,2.6666666666666665,3.333333333333333,2.333333333333333,8.0,1.3333333333333333,0.3333333333333333,42.333333333333336,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0
158,1361.0,7.0,81.02857142857144,16.142857142857142,2.857142857142857,13.285714285714286,0.7142857142857143,5.714285714285714,1.5714285714285714,5.428571428571429,2.7142857142857144,0.0,57.0,0.0,0.0,1.1428571428571428,0.2857142857142857,0.0,0.0,0.0
